Name,Batch,Exam type,Is published,Result published,Exam date,Cce exam category,Exam detail
Asst-I,03 - 03-G 2016-17,MarksAndGrades,true,false,2016-05-09,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-18 08:00:00 UTC,2016-05-18 09:20:00 UTC,40.0,Exam,Math,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:20:00 UTC,40.0,Exam,English,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:20:00 UTC,30.0,Exam,Urdu,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:20:00 UTC,15.0,Exam,Islamiyat,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:20:00 UTC,15.0,Exam,Computer,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:20:00 UTC,20.0,Exam,Science,0.0
2016-05-12 08:00:00 UTC,2016-05-12 09:20:00 UTC,20.0,Exam,Social Studies,0.0
"
Asst-I,03 - 03-S 2016-17,MarksAndGrades,true,false,2016-05-09,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-18 08:00:00 UTC,2016-05-18 09:20:00 UTC,40.0,Exam,Math,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:20:00 UTC,40.0,Exam,English,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:20:00 UTC,30.0,Exam,Urdu,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:20:00 UTC,15.0,Exam,Islamiyat,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:20:00 UTC,15.0,Exam,Computer,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:20:00 UTC,20.0,Exam,Science,0.0
2016-05-12 08:00:00 UTC,2016-05-12 09:20:00 UTC,20.0,Exam,Social Studies,0.0
"
Quiz-1,04 - 04-G 2016-17,MarksAndGrades,true,false,2016-05-10,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-16 08:00:00 UTC,2016-05-16 09:30:00 UTC,25.0,Exam,Math,0.0
2016-05-12 08:00:00 UTC,2016-05-12 09:30:00 UTC,25.0,Exam,English,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:30:00 UTC,20.0,Exam,Urdu,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:30:00 UTC,10.0,Exam,Islamiyat,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:30:00 UTC,15.0,Exam,Social Studies,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:30:00 UTC,15.0,Exam,Science,0.0
2016-05-18 08:00:00 UTC,2016-05-18 09:30:00 UTC,10.0,Exam,Computer ,0.0
2016-05-23 08:00:00 UTC,2016-05-23 09:30:00 UTC,5.0,Exam,Project,0.0
"
Quiz-1,04 - 04-S 2016-17,MarksAndGrades,true,false,2016-05-10,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-16 08:00:00 UTC,2016-05-16 09:30:00 UTC,25.0,Exam,Math,0.0
2016-05-12 08:00:00 UTC,2016-05-12 09:32:00 UTC,25.0,Exam,English,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:32:00 UTC,20.0,Exam,Urdu,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:33:00 UTC,10.0,Exam,Islamiyat,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:33:00 UTC,15.0,Exam,Social Studies,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:34:00 UTC,15.0,Exam,Science,0.0
2016-05-18 08:00:00 UTC,2016-05-18 09:34:00 UTC,10.0,Exam,Computer ,0.0
2016-05-23 08:00:00 UTC,2016-05-23 09:34:00 UTC,5.0,Exam,Project,0.0
"
Quiz-1,05 - 05-G 2016-17,MarksAndGrades,true,false,2016-05-10,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-12 08:00:00 UTC,2016-05-12 09:30:00 UTC,25.0,Exam,Math,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:30:00 UTC,25.0,Exam,English,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:30:00 UTC,20.0,Exam,Urdu,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:30:00 UTC,10.0,Exam,Islamiyat,0.0
2016-05-18 08:00:00 UTC,2016-05-18 09:30:00 UTC,15.0,Exam,Social Studies,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:30:00 UTC,15.0,Exam,Science,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:30:00 UTC,10.0,Exam,Computer Science,0.0
2016-05-23 08:00:00 UTC,2016-05-23 09:30:00 UTC,5.0,Exam,Project,0.0
"
Quiz-1,05 - 05-S 2016-17,MarksAndGrades,true,false,2016-05-10,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-12 08:00:00 UTC,2016-05-12 09:30:00 UTC,25.0,Exam,Math,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:30:00 UTC,25.0,Exam,English,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:30:00 UTC,20.0,Exam,Urdu,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:25:00 UTC,10.0,Exam,Islamiyat,0.0
2016-05-18 08:00:00 UTC,2016-05-18 09:30:00 UTC,15.0,Exam,Social Studies,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:30:00 UTC,15.0,Exam,Science,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:30:00 UTC,10.0,Exam,Computer Science,0.0
2016-05-23 08:00:00 UTC,2016-05-23 09:30:00 UTC,5.0,Exam,Project,0.0
"
Quiz-1,06 - 06-G 2016-17,MarksAndGrades,true,false,2016-05-10,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-18 08:00:00 UTC,2016-05-18 09:37:00 UTC,25.0,Exam,Math,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:38:00 UTC,25.0,Exam,English,0.0
2016-05-12 08:00:00 UTC,2016-05-12 09:38:00 UTC,20.0,Exam,Urdu,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:39:00 UTC,10.0,Exam,Islamiyat,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:39:00 UTC,15.0,Exam,Social Studies,0.0
2016-05-16 09:00:00 UTC,2016-05-16 09:30:00 UTC,15.0,Exam,Science,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:40:00 UTC,10.0,Exam,Computer Science,0.0
2016-05-23 08:37:00 UTC,2016-05-23 09:40:00 UTC,5.0,Exam,Project,0.0
"
Quiz-1,06 - 06-S 2016-17,MarksAndGrades,true,false,2016-05-10,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-18 08:00:00 UTC,2016-05-18 09:30:00 UTC,25.0,Exam,Math,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:30:00 UTC,25.0,Exam,English,0.0
2016-05-12 08:00:00 UTC,2016-05-12 09:30:00 UTC,20.0,Exam,Urdu,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:30:00 UTC,10.0,Exam,Islamiyat,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:30:00 UTC,15.0,Exam,Social Studies,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:55:00 UTC,15.0,Exam,Science,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:30:00 UTC,10.0,Exam,Computer Science,0.0
2016-05-23 08:00:00 UTC,2016-05-23 10:56:00 UTC,5.0,Exam,Project,0.0
"
Quiz-1,07 - 07-A 2016-17,MarksAndGrades,true,false,2016-05-10,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-18 08:02:00 UTC,2016-05-18 09:30:00 UTC,25.0,Exam,Math,0.0
2016-05-12 08:04:00 UTC,2016-05-12 09:30:00 UTC,25.0,Exam,English,0.0
2016-05-19 08:04:00 UTC,2016-05-19 09:30:00 UTC,20.0,Exam,Urdu,0.0
2016-05-13 08:04:00 UTC,2016-05-13 09:30:00 UTC,10.0,Exam,Islamiyat,0.0
2016-05-20 08:04:00 UTC,2016-05-20 09:30:00 UTC,15.0,Exam,Social Studies,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:25:00 UTC,15.0,Exam,Science,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:30:00 UTC,10.0,Exam,Computer Science,0.0
2016-05-23 08:00:00 UTC,2016-05-23 09:30:00 UTC,5.0,Exam,Project,0.0
"
Quiz-1,07 - 07-B 2016-17,MarksAndGrades,false,false,2016-05-10,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-18 08:00:00 UTC,2016-05-18 09:20:00 UTC,25.0,Exam,Math,0.0
2016-05-12 08:00:00 UTC,2016-05-12 09:30:00 UTC,25.0,Exam,English,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:20:00 UTC,20.0,Exam,Urdu,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:30:00 UTC,10.0,Exam,Islamiyat,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:30:00 UTC,15.0,Exam,Social Studies,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:25:00 UTC,15.0,Exam,Science,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:30:00 UTC,10.0,Exam,Computer Science,0.0
2016-05-23 08:00:00 UTC,2016-05-23 09:30:00 UTC,5.0,Exam,Project,0.0
"
Quiz-1,09 - 09-A 2016-17,MarksAndGrades,true,false,2016-05-10,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-17 08:00:00 UTC,2016-05-17 09:30:00 UTC,50.0,Exam,Math,0.0
2016-05-12 08:00:00 UTC,2016-05-12 09:30:00 UTC,50.0,Exam,English,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:35:00 UTC,50.0,Exam,Urdu,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:30:00 UTC,50.0,Exam,Chemistry,0.0
2016-05-18 08:00:00 UTC,2016-05-18 09:25:00 UTC,50.0,Exam,Physics,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:30:00 UTC,50.0,Exam,Islamiyat,0.0
2016-05-23 08:00:00 UTC,2016-05-23 09:30:00 UTC,50.0,Exam,Pakistan Studies,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:30:00 UTC,50.0,Exam,Biology,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:30:00 UTC,50.0,Exam,Computer Science,0.0
"
Quiz-1,09 - 09-B 2016-17,MarksAndGrades,true,false,2016-05-10,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-17 08:00:00 UTC,2016-05-17 09:30:00 UTC,50.0,Exam,Math,0.0
2016-05-16 09:00:00 UTC,2016-05-16 09:35:00 UTC,50.0,Exam,English,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:30:00 UTC,50.0,Exam,Urdu,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:30:00 UTC,50.0,Exam,Chemistry,0.0
2016-05-18 08:00:00 UTC,2016-05-18 09:30:00 UTC,50.0,Exam,Physics,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:27:00 UTC,50.0,Exam,Islamiyat,0.0
2016-05-23 08:00:00 UTC,2016-05-23 09:27:00 UTC,50.0,Exam,Pakistan Studies,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:35:00 UTC,50.0,Exam,Biology,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:30:00 UTC,50.0,Exam,Computer Science,0.0
"
Quiz-1,10 - 10 2016-17,MarksAndGrades,true,false,2016-05-10,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-19 08:00:00 UTC,2016-05-19 09:30:00 UTC,50.0,Exam,Math,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:30:00 UTC,50.0,Exam,English,0.0
2016-05-12 08:00:00 UTC,2016-05-12 09:39:00 UTC,50.0,Exam,Urdu,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:38:00 UTC,50.0,Exam,Physics,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:30:00 UTC,50.0,Exam,Chemistry,0.0
2016-05-18 08:00:00 UTC,2016-05-18 09:38:00 UTC,50.0,Exam,Pakistan Studies,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:37:00 UTC,50.0,Exam,Biology,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:30:00 UTC,50.0,Exam,Computer Science,0.0
"
Quiz-1,08 - 08-A 2016-17,MarksAndGrades,true,false,2016-05-12,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-13 08:00:00 UTC,2016-05-13 09:30:00 UTC,25.0,Exam,Math,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:30:00 UTC,25.0,Exam,English,0.0
2016-05-18 08:00:00 UTC,2016-05-18 09:30:00 UTC,20.0,Exam,Urdu,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:30:00 UTC,25.0,Exam,Chemistry,0.0
2016-05-12 08:00:00 UTC,2016-05-12 09:30:00 UTC,25.0,Exam,Physics,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:30:00 UTC,10.0,Exam,Islamiyat,0.0
2016-05-23 08:00:00 UTC,2016-05-23 09:30:00 UTC,10.0,Exam,Pakistan Studies,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:30:00 UTC,25.0,Exam,Biology,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:30:00 UTC,25.0,Exam,Computer Science,0.0
"
Quiz-1,08 - 08-B 2016-17,MarksAndGrades,true,false,2016-05-12,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-13 08:00:00 UTC,2016-05-13 09:30:00 UTC,25.0,Exam,Math,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:30:00 UTC,25.0,Exam,English,0.0
2016-05-18 08:00:00 UTC,2016-05-18 09:30:00 UTC,25.0,Exam,Urdu,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:30:00 UTC,25.0,Exam,Chemistry,0.0
2016-05-12 08:00:00 UTC,2016-05-12 09:30:00 UTC,25.0,Exam,Physics,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:30:00 UTC,10.0,Exam,Islamiyat,0.0
2016-05-23 08:00:00 UTC,2016-05-23 09:30:00 UTC,10.0,Exam,Pakistan Studies,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:30:00 UTC,25.0,Exam,Biology,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:30:00 UTC,25.0,Exam,Computer Science,0.0
"
