Student admission no,Roll number,Forenoon,Afternoon,Date,Batch name,Reason
2015-1348,89,true,true,2016-05-25,01 - 01-B 2016-17,-
2014-1295,07,true,true,2016-05-25,01 - 01-B 2016-17,-
2016-1513,06,true,true,2016-05-25,02 - 02-Pur 2016-17,-
2015-1456,22,true,true,2016-05-25,02 - 02-Pur 2016-17,-
2015-1418,11,true,true,2016-05-04,NUR - NU-T 2016-17,-
2015-1418,11,true,true,2016-05-20,NUR - NU-T 2016-17,-
2015-1418,11,true,true,2016-05-24,NUR - NU-T 2016-17,-
2015-1418,11,true,true,2016-05-09,NUR - NU-T 2016-17,-
2016-1536,02,true,true,2016-05-23,KG - KG-G 2016-17,-
2015-1447,76,true,true,2016-05-13,KG - KG-G 2016-17,-
2015-1322,52,true,true,2016-05-10,NUR - NU-T 2016-17,-
2015-1322,52,true,true,2016-05-16,NUR - NU-T 2016-17,-
2015-1322,52,true,true,2016-05-17,NUR - NU-T 2016-17,-
2015-1322,52,true,true,2016-05-18,NUR - NU-T 2016-17,-
2015-1322,52,true,true,2016-05-19,NUR - NU-T 2016-17,-
2015-1338,04,true,true,2016-05-13,NUR - NU-T 2016-17,-
2015-1461,18,true,true,2016-05-18,NUR - NU-T 2016-17,-
2016-1474,81,true,true,2016-05-10,KG - KG-G 2016-17,-
2016-1538,20,true,true,2016-05-03,NUR - NU-T 2016-17,-
2016-1474,81,true,true,2016-05-19,KG - KG-G 2016-17,-
2016-1538,20,true,true,2016-05-04,NUR - NU-T 2016-17,-
2016-1474,81,true,true,2016-05-20,KG - KG-G 2016-17,-
2016-1538,20,true,true,2016-05-13,NUR - NU-T 2016-17,-
2016-1538,20,true,true,2016-05-17,NUR - NU-T 2016-17,-
2016-1538,20,true,true,2016-05-18,NUR - NU-T 2016-17,-
2015-1323,85,true,true,2016-05-25,02 - 02-Pur 2016-17,-
2015-1459,17,true,true,2016-05-17,NUR - NU-T 2016-17,-
2015-1313,17,true,true,2016-05-18,KG - KG-G 2016-17,-
2015-1313,17,true,true,2016-05-19,KG - KG-G 2016-17,-
2015-1313,17,true,true,2016-05-20,KG - KG-G 2016-17,-
2015-1402,58,true,true,2016-05-04,NUR - NU-T 2016-17,-
2015-1402,58,true,true,2016-05-13,NUR - NU-T 2016-17,-
2015-1444,64,true,true,2016-05-23,NUR - NU-T 2016-17,-
2015-1417,10,true,true,2016-05-10,NUR - NU-T 2016-17,-
2015-1417,10,true,true,2016-05-19,NUR - NU-T 2016-17,-
2015-1315,02,true,true,2016-05-06,NUR - NU-T 2016-17,-
2015-1315,02,true,true,2016-05-10,NUR - NU-T 2016-17,-
2015-1315,02,true,true,2016-05-16,NUR - NU-T 2016-17,-
2016-1476,71,true,true,2016-05-11,NUR - NU-T 2016-17,-
2016-1476,71,true,true,2016-05-12,NUR - NU-T 2016-17,-
2016-1476,71,true,true,2016-05-13,NUR - NU-T 2016-17,-
2016-1476,71,true,true,2016-05-17,NUR - NU-T 2016-17,-
2016-1476,71,true,true,2016-05-20,NUR - NU-T 2016-17,-
2014-1184,08,true,true,2016-03-24,KG - KG-Y 2016-17,
2014-1280,15,true,true,2016-03-25,KG - KG-Y 2016-17,-
2014-1184,08,true,true,2016-03-25,KG - KG-Y 2016-17,-
2015-1450,09,true,true,2016-03-25,KG - KG-Y 2016-17,-
2014-1227,12,true,true,2016-03-25,KG - KG-Y 2016-17,-
2014-1241,13,true,true,2016-03-30,KG - KG-Y 2016-17,-
2014-1217,11,true,true,2016-03-28,KG - KG-Y 2016-17,-
2015-1372,69,true,true,2016-03-25,KG - KG-Y 2016-17,-
2014-1174,55,true,true,2016-03-29,KG - KG-Y 2016-17,
2014-1174,55,true,true,2016-03-24,KG - KG-Y 2016-17,-
2015-1450,09,true,true,2016-04-01,KG - KG-Y 2016-17,-
2015-1450,09,true,true,2016-04-05,KG - KG-Y 2016-17,-
2015-1450,09,true,true,2016-04-21,KG - KG-Y 2016-17,-
2015-1450,09,true,true,2016-04-25,KG - KG-Y 2016-17,-
2015-1450,09,true,true,2016-04-26,KG - KG-Y 2016-17,-
2015-1450,09,true,true,2016-04-27,KG - KG-Y 2016-17,-
2015-1404,73,true,true,2016-04-25,KG - KG-Y 2016-17,-
2014-1278,53,true,true,2016-04-29,KG - KG-Y 2016-17,-
2014-1195,57,true,true,2016-04-28,KG - KG-Y 2016-17,-
2014-1195,57,true,true,2016-04-27,KG - KG-Y 2016-17,-
2014-1278,53,true,true,2016-04-15,KG - KG-Y 2016-17,-
2014-1278,53,true,true,2016-04-01,KG - KG-Y 2016-17,-
2015-1375,70,true,true,2016-04-01,KG - KG-Y 2016-17,-
2014-1175,06,true,true,2016-04-01,KG - KG-Y 2016-17,-
2014-1175,06,true,true,2016-04-05,KG - KG-Y 2016-17,-
2015-1375,70,true,true,2016-04-18,KG - KG-Y 2016-17,-
2015-1375,70,true,true,2016-04-19,KG - KG-Y 2016-17,-
2014-1184,08,true,true,2016-04-19,KG - KG-Y 2016-17,-
2015-1384,71,true,true,2016-04-06,KG - KG-Y 2016-17,-
2015-1452,75,true,true,2016-04-14,KG - KG-Y 2016-17,-
2015-1452,75,true,true,2016-04-15,KG - KG-Y 2016-17,-
2015-1452,75,true,true,2016-04-25,KG - KG-Y 2016-17,-
2014-1248,61,true,true,2016-04-01,KG - KG-Y 2016-17,-
2014-1248,61,true,true,2016-04-06,KG - KG-Y 2016-17,-
2014-1248,61,true,true,2016-04-07,KG - KG-Y 2016-17,-
2014-1248,61,true,true,2016-04-13,KG - KG-Y 2016-17,-
2014-1248,61,true,true,2016-04-14,KG - KG-Y 2016-17,-
2014-1217,11,true,true,2016-04-12,KG - KG-Y 2016-17,-
2014-1217,11,true,true,2016-04-06,KG - KG-Y 2016-17,-
2014-1280,15,true,true,2016-04-11,KG - KG-Y 2016-17,-
2014-1280,15,true,true,2016-04-25,KG - KG-Y 2016-17,-
2014-1174,55,true,true,2016-04-27,KG - KG-Y 2016-17,-
2014-1174,55,true,true,2016-04-26,KG - KG-Y 2016-17,-
2016-1537,82,true,true,2016-04-29,KG - KG-Y 2016-17,-
2015-1450,09,true,true,2016-05-17,KG - KG-Y 2016-17,-
2015-1450,09,true,true,2016-05-05,KG - KG-Y 2016-17,-
2014-1227,12,true,true,2016-05-09,KG - KG-Y 2016-17,-
2014-1241,13,true,true,2016-05-02,KG - KG-Y 2016-17,-
2014-1241,13,true,true,2016-05-05,KG - KG-Y 2016-17,-
2015-1452,75,true,true,2016-05-11,KG - KG-Y 2016-17,-
2015-1452,75,true,true,2016-05-12,KG - KG-Y 2016-17,-
2015-1452,75,true,true,2016-05-17,KG - KG-Y 2016-17,-
2015-1452,75,true,true,2016-05-19,KG - KG-Y 2016-17,-
2016-1469,80,true,true,2016-05-23,KG - KG-Y 2016-17,-
2014-1163,52,true,true,2016-05-06,KG - KG-Y 2016-17,-
2014-1163,52,true,true,2016-05-05,KG - KG-Y 2016-17,-
2014-1163,52,true,true,2016-05-23,KG - KG-Y 2016-17,-
2014-1248,61,true,true,2016-05-11,KG - KG-Y 2016-17,-
2014-1248,61,true,true,2016-05-17,KG - KG-Y 2016-17,-
2014-1217,11,true,true,2016-05-06,KG - KG-Y 2016-17,-
2014-1217,11,true,true,2016-05-13,KG - KG-Y 2016-17,-
2014-1217,11,true,true,2016-05-20,KG - KG-Y 2016-17,-
2014-1217,11,true,true,2016-05-24,KG - KG-Y 2016-17,-
2014-1174,55,true,true,2016-05-06,KG - KG-Y 2016-17,-
2014-1174,55,true,true,2016-05-17,KG - KG-Y 2016-17,-
2014-1174,55,true,true,2016-05-19,KG - KG-Y 2016-17,-
2016-1537,82,true,true,2016-05-26,KG - KG-Y 2016-17,-
2012-0909,54,true,true,2016-05-25,10 - 10 2016-17,-
2008-0448,51,true,true,2016-05-25,10 - 10 2016-17,-
2015-1365,75,true,true,2016-05-25,10 - 10 2016-17,-
2013-1071,70,true,true,2016-05-25,10 - 10 2016-17,-
2015-1401,76,true,true,2016-05-25,10 - 10 2016-17,-
2004-0035,53,true,true,2016-05-25,10 - 10 2016-17,-
2013-1113,74,true,true,2016-05-25,10 - 10 2016-17,-
2010-0672,80,true,true,2016-05-25,10 - 10 2016-17,-
2012-0930,65,true,true,2016-05-25,10 - 10 2016-17,-
2008-0372,62,true,true,2016-05-25,10 - 10 2016-17,-
2013-1133,78,true,true,2016-05-25,10 - 10 2016-17,-
2010-0623,02,true,true,2016-05-25,10 - 10 2016-17,-
2015-1334,73,true,true,2016-05-25,10 - 10 2016-17,-
2008-0450,56,true,true,2016-05-25,10 - 10 2016-17,-
2011-0768,71,true,true,2016-05-25,10 - 10 2016-17,-
2013-1005,68,true,true,2016-05-25,10 - 10 2016-17,-
2015-1427,73,true,true,2016-05-25,07 - 07-B 2016-17,-
2010-0659,71,true,true,2016-05-18,07 - 07-B 2016-17,-
2010-0659,71,true,true,2016-05-20,07 - 07-B 2016-17,-
2010-0659,71,true,true,2016-05-23,07 - 07-B 2016-17,-
2010-0659,71,true,true,2016-05-19,07 - 07-B 2016-17,-
2010-0659,71,true,true,2016-05-24,07 - 07-B 2016-17,-
2010-0659,71,true,true,2016-05-26,07 - 07-B 2016-17,-
2010-0659,71,true,true,2016-05-25,07 - 07-B 2016-17,-
2015-1363,56,true,true,2016-05-24,07 - 07-B 2016-17,-
2015-1363,56,true,true,2016-05-26,07 - 07-B 2016-17,-
2015-1363,56,true,true,2016-05-25,07 - 07-B 2016-17,-
2015-1427,73,true,true,2016-05-26,07 - 07-B 2016-17,-
