Name,Code,Batch,No exams,Max weekly classes,Credit hours,Elective group,Assigned students
Biology,BIO-10,10 - 10 2016-17,false,7,,Bio/Comp,"2012-0909,2012-0930,2009-0518,2013-1133,2015-1336,2010-0623,2014-1264,2004-0070,2008-0372,2004-0024,2007-0313"
Computer Science,CS-10,10 - 10 2016-17,false,7,,Bio/Comp,"2004-0035,2013-1030,2014-1276,2013-1113,2005-0129,2014-1154,2008-0450,2013-1105,2008-0448,2010-0664,2005-0130,2011-0800,2011-0768,2013-1005,2015-1334,2015-1361,2015-1365,2015-1356,2015-1401,2015-1362,2010-0605,2013-1071,2004-0049,2004-0071,2010-0672"
Lab Physics,LPH-08,08 - 08-A 2016-17,true,3,,,
Physcial Education,PE-08,08 - 08-A 2016-17,true,3,,,
Lab Physics,LPH-08,08 - 08-B 2016-17,true,3,,,
Physcial Education,PE-08,08 - 08-B 2016-17,true,3,,,
Project,PRO-04,04 - 04-G 2016-17,false,1,,,
Project,PRO-04,04 - 04-S 2016-17,false,1,,,
Project,PRO-05,05 - 05-G 2016-17,false,1,,,
Project,PRO-05,05 - 05-S 2016-17,false,1,,,
Project,PRO-06,06 - 06-G 2016-17,false,1,,,
Project,PRO-06,06 - 06-S 2016-17,false,1,,,
Project,PRO-07,07 - 07-A 2016-17,false,1,,,
Project,PRO-07,07 - 07-B 2016-17,false,1,,,
Pakistan Studies,PAK-08,08 - 08-A 2016-17,false,4,,,
Pakistan Studies,PAK-08,08 - 08-B 2016-17,false,4,,,
Pakistan Studies,PAK-09,09 - 09-A 2016-17,false,4,,,
Pakistan Studies,PAK-09,09 - 09-B 2016-17,false,4,,,
