Student,Roll number,Exam group,Batch,Subject,Marks,Grading level,Remarks
2015-1458,,QUIZ-I,02 - 02-Pur 2016-17,SS-02,,,
2015-1364,,QUIZ-I,02 - 02-Pur 2016-17,SS-02,,,
2012-0450,,QUIZ-I,02 - 02-Pur 2016-17,SS-02,,,
N2015-1410,,QUIZ-I,02 - 02-Pur 2016-17,SS-02,,,
2014-1196,15,QUIZ-I,01 - 01-R 2016-17,URD-01,,,
2015-1458,,QUIZ-I,02 - 02-Pur 2016-17,ISL-02,,,
2015-1364,,QUIZ-I,02 - 02-Pur 2016-17,ISL-02,,,
2012-0450,,QUIZ-I,02 - 02-Pur 2016-17,ISL-02,,,
N2015-1410,,QUIZ-I,02 - 02-Pur 2016-17,ISL-02,,,
2012-0964,65,QUIZ-I,02 - 02-Pur 2016-17,ISL-02,,,
2015-1458,,QUIZ-I,02 - 02-Pur 2016-17,MAT-02,,,
2014-1204,73,QUIZ-I,02 - 02-Pur 2016-17,MAT-02,,,
2015-1364,,QUIZ-I,02 - 02-Pur 2016-17,MAT-02,,,
2012-0450,,QUIZ-I,02 - 02-Pur 2016-17,MAT-02,,,
N2015-1410,,QUIZ-I,02 - 02-Pur 2016-17,MAT-02,,,
2015-1456,22,QUIZ-I,02 - 02-Pur 2016-17,MAT-02,25.0,A+,
2014-1295,07,QUIZ-I,01 - 01-B 2016-17,MAT-01,,,
2013-1129,,QUIZ-I,01 - 01-B 2016-17,MAT-01,,,
2016-1532,90,QUIZ-I,01 - 01-B 2016-17,MAT-01,,,
2012-0974,,QUIZ-I,02 - 02-P 2016-17,ISL-02,,,
2015-1406,,QUIZ-I,02 - 02-P 2016-17,ISL-02,,,
2015-1451,24,QUIZ-I,02 - 02-P 2016-17,ISL-02,,,
N2011-0785,93,QUIZ-I,02 - 02-P 2016-17,ISL-02,,,
2011-0805,05,QUIZ-I,03 - 03-G 2016-17,SCI-03,14.25,A+,
2014-1170,10,QUIZ-I,03 - 03-S 2016-17,SCI-03,9.75,B,
2012-0877,79,QUIZ-I,03 - 03-G 2016-17,MAT-03,22.5,A+,
2015-1429,,QUIZ-I,01 - 01-R 2016-17,ISL-01,,,
2015-1429,,QUIZ-I,01 - 01-R 2016-17,MAT-01,,,
2013-1011,02,QUIZ-I,01 - 01-B 2016-17,ISL-01,9.5,A+,
2014-1203,55,QUIZ-I,03 - 03-S 2016-17,MAT-03,,,
2012-0877,79,QUIZ-I,03 - 03-G 2016-17,ENG-03,,,
N2011-0785,93,QUIZ-I,02 - 02-P 2016-17,SCI-02,,,
2015-1429,,QUIZ-I,01 - 01-R 2016-17,SCI-01,,,
2015-1398,13,Quiz-1,08 - 08-A 2016-17,MAT-08,9.0,F,
2014-1191,06,Quiz-1,08 - 08-A 2016-17,MAT-08,23.0,A+,
2009-0539,02,Quiz-1,08 - 08-A 2016-17,MAT-08,14.0,C,
2014-1193,10,Quiz-1,08 - 08-A 2016-17,MAT-08,15.75,B,
2013-1036,07,Quiz-1,08 - 08-A 2016-17,MAT-08,23.75,A+,
2016-1481,04,Quiz-1,08 - 08-A 2016-17,MAT-08,23.0,A+,
2006-0214,03,Quiz-1,08 - 08-A 2016-17,MAT-08,18.5,B+,
2014-1254,12,Quiz-1,08 - 08-A 2016-17,MAT-08,25.0,A+,
2012-0944,11,Quiz-1,08 - 08-A 2016-17,MAT-08,11.5,F,
2015-1462,09,Quiz-1,08 - 08-A 2016-17,MAT-08,21.25,A,
2009-0518,06,Quiz-1,10 - 10 2016-17,CHE-10,20.0,D,
2010-0664,79,Quiz-1,10 - 10 2016-17,CHE-10,8.0,F,
2005-0130,81,Quiz-1,10 - 10 2016-17,CHE-10,20.0,D,
2013-1133,78,Quiz-1,10 - 10 2016-17,CHE-10,28.0,C,
2011-0800,77,Quiz-1,10 - 10 2016-17,CHE-10,,,
2013-1113,74,Quiz-1,10 - 10 2016-17,CHE-10,8.0,F,
2010-0672,80,Quiz-1,10 - 10 2016-17,CHE-10,10.0,F,
2012-0930,65,Quiz-1,10 - 10 2016-17,CHE-10,14.0,F,
2005-0129,52,Quiz-1,10 - 10 2016-17,CHE-10,7.0,F,
2014-1154,55,Quiz-1,10 - 10 2016-17,CHE-10,20.0,D,
2008-0450,56,Quiz-1,10 - 10 2016-17,CHE-10,7.0,F,
2013-1105,72,Quiz-1,10 - 10 2016-17,CHE-10,10.0,F,
2004-0070,61,Quiz-1,10 - 10 2016-17,CHE-10,47.0,A+,
2010-0605,64,Quiz-1,10 - 10 2016-17,CHE-10,27.0,C,
2015-1362,69,Quiz-1,10 - 10 2016-17,CHE-10,31.0,B,
2010-0623,02,Quiz-1,10 - 10 2016-17,CHE-10,,,
2014-1264,05,Quiz-1,10 - 10 2016-17,CHE-10,,,
2008-0448,51,Quiz-1,10 - 10 2016-17,CHE-10,8.0,F,
2013-1071,70,Quiz-1,10 - 10 2016-17,CHE-10,4.0,F,
2004-0035,53,Quiz-1,10 - 10 2016-17,CHE-10,13.0,F,
2004-0049,60,Quiz-1,10 - 10 2016-17,CHE-10,20.0,D,
2014-1276,67,Quiz-1,10 - 10 2016-17,CHE-10,6.0,F,
2004-0071,59,Quiz-1,10 - 10 2016-17,CHE-10,16.0,F,
2008-0372,62,Quiz-1,10 - 10 2016-17,CHE-10,23.0,D,
2007-0313,01,Quiz-1,10 - 10 2016-17,CHE-10,42.0,A,
2004-0024,03,Quiz-1,10 - 10 2016-17,CHE-10,9.0,F,
2015-1365,75,Quiz-1,10 - 10 2016-17,CHE-10,13.0,F,
2015-1401,76,Quiz-1,10 - 10 2016-17,CHE-10,4.0,F,
2015-1356,57,Quiz-1,10 - 10 2016-17,CHE-10,26.0,C,
2011-0768,71,Quiz-1,10 - 10 2016-17,CHE-10,20.0,D,
2013-1005,68,Quiz-1,10 - 10 2016-17,CHE-10,15.0,F,
2015-1361,63,Quiz-1,10 - 10 2016-17,CHE-10,8.0,F,
2015-1334,73,Quiz-1,10 - 10 2016-17,CHE-10,13.0,F,
2015-1336,04,Quiz-1,10 - 10 2016-17,CHE-10,10.0,F,
2012-0909,54,Quiz-1,10 - 10 2016-17,CHE-10,20.0,D,
2010-0623,02,Quiz-1,10 - 10 2016-17,URD-10,,,
2014-1264,05,Quiz-1,10 - 10 2016-17,URD-10,,,
2009-0544,01,Quiz-1,07 - 07-A 2016-17,ISL-07,9.0,A+,
2010-0724,04,Quiz-1,07 - 07-A 2016-17,ISL-07,9.0,A+,
2008-0409,08,Quiz-1,07 - 07-A 2016-17,ISL-07,9.0,A+,
2013-1009,11,Quiz-1,07 - 07-A 2016-17,ISL-07,9.0,A+,
2013-1082,17,Quiz-1,07 - 07-A 2016-17,ISL-07,10.0,A+,
2013-1015,13,Quiz-1,07 - 07-A 2016-17,ISL-07,9.0,A+,
2015-1307,03,Quiz-1,07 - 07-A 2016-17,ISL-07,9.0,A+,
2015-1440,07,Quiz-1,07 - 07-A 2016-17,ISL-07,9.0,A+,
2008-0421,06,Quiz-1,06 - 06-G 2016-17,SS-06,14.0,A+,
2010-0691,16,Quiz-1,06 - 06-G 2016-17,SS-06,7.0,F,
2010-0653,11,Quiz-1,06 - 06-G 2016-17,SS-06,6.0,F,
2009-0522,12,Quiz-1,06 - 06-G 2016-17,SS-06,14.0,A+,
2011-0755,19,Quiz-1,06 - 06-G 2016-17,SS-06,14.0,A+,
2009-0567,14,Quiz-1,06 - 06-G 2016-17,SS-06,14.0,A+,
2012-0955,09,Quiz-1,06 - 06-G 2016-17,SS-06,13.0,A,
2013-1054,21,Quiz-1,06 - 06-G 2016-17,SS-06,6.0,F,
2014-1157,02,Quiz-1,06 - 06-G 2016-17,SS-06,7.0,F,
2014-1253,07,Quiz-1,06 - 06-G 2016-17,SS-06,14.0,A+,
2013-1014,01,Quiz-1,06 - 06-G 2016-17,SS-06,6.0,F,
2009-0497,05,Quiz-1,06 - 06-G 2016-17,SS-06,14.0,A+,
2011-0813,20,Quiz-1,06 - 06-G 2016-17,SS-06,14.0,A+,
2015-1333,13,Quiz-1,06 - 06-G 2016-17,SS-06,1.0,F,
2015-1413,08,Quiz-1,06 - 06-G 2016-17,SS-06,7.0,F,
2015-1432,12,Quiz-1,05 - 05-G 2016-17,URD-05,15.0,B+,
2015-1441,13,Quiz-1,05 - 05-G 2016-17,URD-05,9.0,F,
2011-0751,02,Quiz-1,05 - 05-G 2016-17,URD-05,18.0,A+,
2012-0879,21,Quiz-1,05 - 05-G 2016-17,URD-05,19.0,A+,
2014-1185,09,Quiz-1,05 - 05-G 2016-17,URD-05,12.0,B,
2010-0657,10,Quiz-1,05 - 05-G 2016-17,URD-05,18.0,A+,
2016-1479,17,Quiz-1,05 - 05-G 2016-17,URD-05,15.0,B+,
2009-0466,01,Quiz-1,05 - 05-G 2016-17,URD-05,19.0,A+,
2009-0532,07,Quiz-1,05 - 05-G 2016-17,URD-05,12.0,B,
2010-0608,03,Quiz-1,05 - 05-G 2016-17,URD-05,18.0,A+,
2009-0559,14,Quiz-1,05 - 05-G 2016-17,URD-05,11.0,C,
2009-0500,05,Quiz-1,05 - 05-G 2016-17,URD-05,16.0,A,
2014-1176,06,Quiz-1,05 - 05-G 2016-17,URD-05,18.0,A+,
2013-1034,08,Quiz-1,05 - 05-G 2016-17,URD-05,14.0,B+,
2014-1243,16,Quiz-1,05 - 05-G 2016-17,URD-05,20.0,A+,
2010-0629,15,Quiz-1,05 - 05-G 2016-17,URD-05,9.0,F,
2015-1309,11,Quiz-1,05 - 05-G 2016-17,URD-05,8.0,F,
2015-1432,12,Quiz-1,05 - 05-G 2016-17,MAT-05,10.0,F,
2015-1441,13,Quiz-1,05 - 05-G 2016-17,MAT-05,17.0,B,
2011-0751,02,Quiz-1,05 - 05-G 2016-17,MAT-05,14.5,C,
2012-0879,21,Quiz-1,05 - 05-G 2016-17,MAT-05,23.0,A+,
2014-1185,09,Quiz-1,05 - 05-G 2016-17,MAT-05,16.0,B,
2010-0657,10,Quiz-1,05 - 05-G 2016-17,MAT-05,22.0,A,
2016-1479,17,Quiz-1,05 - 05-G 2016-17,MAT-05,20.5,A,
2009-0466,01,Quiz-1,05 - 05-G 2016-17,MAT-05,22.0,A,
2009-0532,07,Quiz-1,05 - 05-G 2016-17,MAT-05,15.5,B,
2010-0608,03,Quiz-1,05 - 05-G 2016-17,MAT-05,20.0,A,
2009-0559,14,Quiz-1,05 - 05-G 2016-17,MAT-05,11.0,F,
2009-0500,05,Quiz-1,05 - 05-G 2016-17,MAT-05,17.5,B+,
2014-1176,06,Quiz-1,05 - 05-G 2016-17,MAT-05,18.0,B+,
2013-1034,08,Quiz-1,05 - 05-G 2016-17,MAT-05,20.5,A,
2014-1243,16,Quiz-1,05 - 05-G 2016-17,MAT-05,16.0,B,
2010-0629,15,Quiz-1,05 - 05-G 2016-17,MAT-05,11.0,F,
2015-1309,11,Quiz-1,05 - 05-G 2016-17,MAT-05,14.0,C,
2013-1113,74,Quiz-1,10 - 10 2016-17,URD-10,14.0,F,
2012-0930,65,Quiz-1,10 - 10 2016-17,URD-10,24.0,D,
2005-0129,52,Quiz-1,10 - 10 2016-17,URD-10,19.0,F,
2014-1154,55,Quiz-1,10 - 10 2016-17,URD-10,26.0,C,
2008-0450,56,Quiz-1,10 - 10 2016-17,URD-10,24.0,D,
2013-1105,72,Quiz-1,10 - 10 2016-17,URD-10,21.0,D,
2004-0070,61,Quiz-1,10 - 10 2016-17,URD-10,46.0,A+,
2008-0448,51,Quiz-1,10 - 10 2016-17,URD-10,12.0,F,
2010-0605,64,Quiz-1,10 - 10 2016-17,URD-10,39.0,B+,
2015-1362,69,Quiz-1,10 - 10 2016-17,URD-10,41.0,A,
2012-0909,54,Quiz-1,10 - 10 2016-17,URD-10,40.0,A,
2013-1071,70,Quiz-1,10 - 10 2016-17,URD-10,31.0,B,
2004-0035,53,Quiz-1,10 - 10 2016-17,URD-10,22.0,D,
2004-0049,60,Quiz-1,10 - 10 2016-17,URD-10,35.0,B+,
2014-1276,67,Quiz-1,10 - 10 2016-17,URD-10,19.0,F,
2004-0071,59,Quiz-1,10 - 10 2016-17,URD-10,32.0,B,
2008-0372,62,Quiz-1,10 - 10 2016-17,URD-10,35.0,B+,
2007-0313,01,Quiz-1,10 - 10 2016-17,URD-10,35.0,B+,
2004-0024,03,Quiz-1,10 - 10 2016-17,URD-10,33.0,B,
2015-1365,75,Quiz-1,10 - 10 2016-17,URD-10,35.0,B+,
2015-1401,76,Quiz-1,10 - 10 2016-17,URD-10,21.0,D,
2015-1356,57,Quiz-1,10 - 10 2016-17,URD-10,43.0,A,
2011-0768,71,Quiz-1,10 - 10 2016-17,URD-10,33.0,B,
2013-1005,68,Quiz-1,10 - 10 2016-17,URD-10,26.0,C,
2015-1361,63,Quiz-1,10 - 10 2016-17,URD-10,26.0,C,
2015-1334,73,Quiz-1,10 - 10 2016-17,URD-10,32.0,B,
2015-1336,04,Quiz-1,10 - 10 2016-17,URD-10,26.0,C,
2009-0518,06,Quiz-1,10 - 10 2016-17,URD-10,40.0,A,
2010-0664,79,Quiz-1,10 - 10 2016-17,URD-10,19.0,F,
2005-0130,81,Quiz-1,10 - 10 2016-17,URD-10,33.0,B,
2013-1133,78,Quiz-1,10 - 10 2016-17,URD-10,24.0,D,
2011-0800,77,Quiz-1,10 - 10 2016-17,URD-10,15.0,F,
2010-0672,80,Quiz-1,10 - 10 2016-17,URD-10,18.0,F,
2014-1285,05,Asst-I,01 - 01-B 2016-17,URD-01,29.5,A+,
2013-1023,57,Asst-I,01 - 01-B 2016-17,URD-01,23.5,B+,
2013-1007,55,Asst-I,01 - 01-B 2016-17,URD-01,12.5,D,
2016-1477,69,Asst-I,01 - 01-B 2016-17,URD-01,22.0,B+,
2013-1053,63,Asst-I,01 - 01-B 2016-17,URD-01,29.5,A+,
2013-1059,65,Asst-I,01 - 01-B 2016-17,URD-01,26.0,A,
2013-1011,02,Asst-I,01 - 01-B 2016-17,URD-01,23.0,B+,
2013-1178,71,Asst-I,01 - 01-B 2016-17,URD-01,23.0,B+,
2015-1348,89,Asst-I,01 - 01-B 2016-17,URD-01,20.0,B,
2016-1532,90,Asst-I,01 - 01-B 2016-17,URD-01,21.0,B+,
2016-1545,60,Asst-I,01 - 01-B 2016-17,URD-01,28.0,A+,
2014-1169,82,Asst-I,01 - 01-B 2016-17,URD-01,27.5,A+,
2014-1149,79,Asst-I,01 - 01-B 2016-17,URD-01,21.5,B+,
2013-1048,62,Asst-I,01 - 01-B 2016-17,URD-01,27.5,A+,
2014-1220,16,Asst-I,01 - 01-B 2016-17,URD-01,23.5,B+,
2012-0989,21,Asst-I,01 - 01-B 2016-17,URD-01,16.0,C,
2016-1501,91,Asst-I,01 - 01-B 2016-17,URD-01,17.0,C,
2013-1029,59,Asst-I,01 - 01-B 2016-17,URD-01,23.0,B+,
2013-1126,70,Asst-I,01 - 01-B 2016-17,URD-01,27.5,A+,
2013-1078,67,Asst-I,01 - 01-B 2016-17,URD-01,23.0,B+,
2013-1142,74,Asst-I,01 - 01-B 2016-17,URD-01,21.0,B+,
2015-1320,20,Asst-I,01 - 01-B 2016-17,URD-01,27.5,A+,
2013-1058,64,Asst-I,01 - 01-B 2016-17,URD-01,26.5,A,
2015-1436,51,Asst-I,01 - 01-B 2016-17,URD-01,24.5,A,
2012-0996,88,Asst-I,01 - 01-B 2016-17,URD-01,13.0,D,
2013-1130,11,Asst-I,01 - 01-B 2016-17,URD-01,23.0,B+,
2013-1106,06,Asst-I,01 - 01-B 2016-17,URD-01,21.5,B+,
2014-1274,54,Asst-I,01 - 01-B 2016-17,URD-01,24.5,A,
2015-1312,81,Asst-I,01 - 01-B 2016-17,URD-01,26.5,A,
2009-0544,01,Quiz-1,07 - 07-A 2016-17,ENG-07,24.0,A+,
2010-0724,04,Quiz-1,07 - 07-A 2016-17,ENG-07,23.0,A+,
2008-0409,08,Quiz-1,07 - 07-A 2016-17,ENG-07,24.0,A+,
2013-1009,11,Quiz-1,07 - 07-A 2016-17,ENG-07,22.0,A,
2013-1082,17,Quiz-1,07 - 07-A 2016-17,ENG-07,25.0,A+,
2013-1015,13,Quiz-1,07 - 07-A 2016-17,ENG-07,18.0,B+,
2015-1307,03,Quiz-1,07 - 07-A 2016-17,ENG-07,15.75,B,
2015-1440,07,Quiz-1,07 - 07-A 2016-17,ENG-07,24.5,A+,
2016-1528,56,Quiz-1,05 - 05-S 2016-17,ENG-05,15.25,B,
2015-1386,60,Quiz-1,05 - 05-S 2016-17,ENG-05,25.0,A+,
2015-1394,79,Quiz-1,05 - 05-S 2016-17,ENG-05,22.0,A,
2014-1189,82,Quiz-1,05 - 05-S 2016-17,ENG-05,22.5,A+,
2012-0934,61,Quiz-1,05 - 05-S 2016-17,ENG-05,23.0,A+,
2012-0943,72,Quiz-1,05 - 05-S 2016-17,ENG-05,23.5,A+,
2010-0583,67,Quiz-1,05 - 05-S 2016-17,ENG-05,20.5,A,
2013-1038,78,Quiz-1,05 - 05-S 2016-17,ENG-05,21.25,A,
2009-0566,63,Quiz-1,05 - 05-S 2016-17,ENG-05,21.0,A,
2014-1270,57,Quiz-1,05 - 05-S 2016-17,ENG-05,18.0,B+,
2009-0552,59,Quiz-1,05 - 05-S 2016-17,ENG-05,20.5,A,
2010-0594,69,Quiz-1,05 - 05-S 2016-17,ENG-05,9.0,F,
2010-0718,75,Quiz-1,05 - 05-S 2016-17,ENG-05,19.0,B+,
2010-0624,71,Quiz-1,05 - 05-S 2016-17,ENG-05,23.25,A+,
2016-1543,80,Quiz-1,05 - 05-S 2016-17,ENG-05,22.0,A,
2015-1381,84,Quiz-1,05 - 05-S 2016-17,ENG-05,21.0,A,
2010-0615,74,Quiz-1,05 - 05-S 2016-17,ENG-05,17.0,B,
2014-1279,66,Quiz-1,05 - 05-S 2016-17,ENG-05,19.0,B+,
2009-0568,64,Quiz-1,05 - 05-S 2016-17,ENG-05,24.75,A+,
2011-0744,51,Quiz-1,05 - 05-S 2016-17,ENG-05,24.0,A+,
2014-1182,65,Quiz-1,05 - 05-S 2016-17,ENG-05,20.25,A,
2009-0565,62,Quiz-1,05 - 05-S 2016-17,ENG-05,19.0,B+,
2013-1067,85,Quiz-1,05 - 05-S 2016-17,ENG-05,14.5,C,
2013-1041,86,Quiz-1,05 - 05-S 2016-17,ENG-05,24.5,A+,
2009-0470,52,Quiz-1,05 - 05-S 2016-17,ENG-05,22.75,A+,
2014-1269,54,Quiz-1,05 - 05-S 2016-17,ENG-05,23.75,A+,
2010-0614,73,Quiz-1,05 - 05-S 2016-17,ENG-05,14.75,C,
2011-0855,77,Quiz-1,05 - 05-S 2016-17,ENG-05,23.0,A+,
2014-1265,83,Quiz-1,05 - 05-S 2016-17,ENG-05,17.75,B+,
2009-0533,58,Quiz-1,05 - 05-S 2016-17,ENG-05,21.0,A,
2010-0595,70,Quiz-1,05 - 05-S 2016-17,ENG-05,9.5,F,
2014-1266,87,Quiz-1,05 - 05-S 2016-17,ENG-05,19.0,B+,
2012-0919,76,Quiz-1,05 - 05-S 2016-17,ENG-05,23.75,A+,
2010-0590,68,Quiz-1,05 - 05-S 2016-17,ENG-05,20.0,A,
2010-0725,53,Quiz-1,05 - 05-S 2016-17,ENG-05,24.25,A+,
2012-0962,81,Quiz-1,05 - 05-S 2016-17,ENG-05,23.75,A+,
2016-1525,67,Quiz-1,07 - 07-B 2016-17,ENG-07,21.25,A,
2011-0752,52,Quiz-1,07 - 07-B 2016-17,ENG-07,22.0,A,
2011-0773,64,Quiz-1,07 - 07-B 2016-17,ENG-07,23.5,A+,
2015-1382,62,Quiz-1,07 - 07-B 2016-17,ENG-07,22.0,A,
2015-1363,56,Quiz-1,07 - 07-B 2016-17,ENG-07,22.5,A+,
2016-1530,65,Quiz-1,07 - 07-B 2016-17,ENG-07,22.0,A,
2016-1542,72,Quiz-1,07 - 07-B 2016-17,ENG-07,14.0,C,
2010-0613,70,Quiz-1,07 - 07-B 2016-17,ENG-07,17.5,B+,
2016-1508,54,Quiz-1,07 - 07-B 2016-17,ENG-07,17.75,B+,
2011-0860,53,Quiz-1,07 - 07-B 2016-17,ENG-07,15.0,B,
2008-0385,69,Quiz-1,07 - 07-B 2016-17,ENG-07,22.0,A,
2014-1247,59,Quiz-1,07 - 07-B 2016-17,ENG-07,19.5,B+,
2016-1539,68,Quiz-1,07 - 07-B 2016-17,ENG-07,14.75,C,
2007-0279,51,Quiz-1,07 - 07-B 2016-17,ENG-07,24.5,A+,
2014-1198,55,Quiz-1,07 - 07-B 2016-17,ENG-07,16.25,B,
2013-1033,61,Quiz-1,07 - 07-B 2016-17,ENG-07,15.0,B,
2008-0369,66,Quiz-1,07 - 07-B 2016-17,ENG-07,14.0,C,
2015-1423,57,Quiz-1,07 - 07-B 2016-17,ENG-07,14.0,C,
2011-0761,63,Quiz-1,07 - 07-B 2016-17,ENG-07,19.0,B+,
2016-1527,58,Quiz-1,07 - 07-B 2016-17,ENG-07,13.5,C,
2009-0480,76,Quiz-1,07 - 07-B 2016-17,ENG-07,13.5,C,
2012-0935,80,Quiz-1,06 - 06-S 2016-17,SS-06,13.8,A+,
2010-0581,55,Quiz-1,06 - 06-S 2016-17,SS-06,12.75,A,
2014-1213,62,Quiz-1,06 - 06-S 2016-17,SS-06,5.8,F,
2010-0592,54,Quiz-1,06 - 06-S 2016-17,SS-06,12.0,A,
2016-1535,66,Quiz-1,06 - 06-S 2016-17,SS-06,4.2,F,
2015-1380,81,Quiz-1,06 - 06-S 2016-17,SS-06,4.5,F,
2015-1347,77,Quiz-1,06 - 06-S 2016-17,SS-06,8.4,C,
2015-1373,78,Quiz-1,06 - 06-S 2016-17,SS-06,10.35,B,
2015-1326,71,Quiz-1,06 - 06-S 2016-17,SS-06,6.0,D,
2015-1359,61,Quiz-1,06 - 06-S 2016-17,SS-06,12.0,A,
2014-1188,59,Quiz-1,06 - 06-S 2016-17,SS-06,8.85,C,
2014-1301,70,Quiz-1,06 - 06-S 2016-17,SS-06,7.95,C,
2008-0438,58,Quiz-1,06 - 06-S 2016-17,SS-06,9.9,B,
2010-0635,75,Quiz-1,06 - 06-S 2016-17,SS-06,7.0,D,
2012-0933,63,Quiz-1,06 - 06-S 2016-17,SS-06,5.0,F,
2009-0540,72,Quiz-1,06 - 06-S 2016-17,SS-06,9.75,B,
2010-0679,53,Quiz-1,06 - 06-S 2016-17,SS-06,6.9,D,
2016-1526,57,Quiz-1,06 - 06-S 2016-17,SS-06,7.0,D,
2011-07860,79,Quiz-1,06 - 06-S 2016-17,SS-06,9.3,B,
2009-0508,67,Quiz-1,06 - 06-S 2016-17,SS-06,9.15,B,
2014-1238,69,Quiz-1,06 - 06-S 2016-17,SS-06,7.0,D,
2013-1136,76,Quiz-1,06 - 06-S 2016-17,SS-06,7.2,D,
2009-0510,60,Quiz-1,06 - 06-S 2016-17,SS-06,6.9,D,
2010-0607,68,Quiz-1,06 - 06-S 2016-17,SS-06,8.8,C,
2008-0378,51,Quiz-1,06 - 06-S 2016-17,SS-06,5.7,F,
2008-0379,52,Quiz-1,06 - 06-S 2016-17,SS-06,5.0,F,
2014-1161,52,Asst-I,03 - 03-G 2016-17,ISL-03,10.0,B,
2013-1008,59,Asst-I,03 - 03-G 2016-17,ISL-03,9.5,B,
2011-0805,05,Asst-I,03 - 03-G 2016-17,ISL-03,15.0,A+,
2011-0814,06,Asst-I,03 - 03-G 2016-17,ISL-03,11.5,B+,
2011-0868,73,Asst-I,03 - 03-G 2016-17,ISL-03,14.0,A+,
2016-1514,54,Asst-I,03 - 03-G 2016-17,ISL-03,13.0,A,
2015-1403,03,Asst-I,03 - 03-G 2016-17,ISL-03,10.0,B,
2014-1293,70,Asst-I,03 - 03-G 2016-17,ISL-03,6.5,D,
2014-1233,72,Asst-I,03 - 03-G 2016-17,ISL-03,13.0,A,
2014-1178,11,Asst-I,03 - 03-G 2016-17,ISL-03,12.5,A,
2012-0971,18,Asst-I,03 - 03-G 2016-17,ISL-03,15.0,A+,
2016-1493,58,Asst-I,03 - 03-G 2016-17,ISL-03,11.5,B+,
2015-1400,82,Asst-I,03 - 03-G 2016-17,ISL-03,11.0,B+,
2011-0849,12,Asst-I,03 - 03-G 2016-17,ISL-03,7.5,C,
2012-0889,19,Asst-I,03 - 03-G 2016-17,ISL-03,14.0,A+,
2015-1329,23,Asst-I,03 - 03-G 2016-17,ISL-03,11.0,B+,
2011-0786,63,Asst-I,03 - 03-G 2016-17,ISL-03,8.5,C,
2013-1080,83,Asst-I,03 - 03-G 2016-17,ISL-03,13.0,A,
2012-0924,67,Asst-I,03 - 03-G 2016-17,ISL-03,14.0,A+,
2012-0887,53,Asst-I,03 - 03-G 2016-17,ISL-03,4.0,F,
2013-1062,84,Asst-I,03 - 03-G 2016-17,ISL-03,15.0,A+,
2014-1256,86,Asst-I,03 - 03-G 2016-17,ISL-03,15.0,A+,
2011-0857,71,Asst-I,03 - 03-G 2016-17,ISL-03,15.0,A+,
2012-0954,81,Asst-I,03 - 03-G 2016-17,ISL-03,8.0,C,
2012-0877,79,Asst-I,03 - 03-G 2016-17,ISL-03,12.5,A,
2013-1018,09,Asst-I,03 - 03-G 2016-17,ISL-03,14.0,A+,
2015-1395,85,Asst-I,03 - 03-G 2016-17,ISL-03,8.5,C,
2015-1438,15,Asst-I,03 - 03-G 2016-17,ISL-03,12.5,A,
2014-1158,06,Quiz-1,09 - 09-A 2016-17,ISL-09,33.0,B,
2005-0102,01,Quiz-1,09 - 09-A 2016-17,ISL-09,36.0,B+,
2007-0301,04,Quiz-1,09 - 09-A 2016-17,ISL-09,46.0,A+,
2009-0545,21,Quiz-1,09 - 09-A 2016-17,ISL-09,40.0,A,
2016-1507,17,Quiz-1,09 - 09-A 2016-17,ISL-09,19.0,F,
2015-1310,16,Quiz-1,09 - 09-A 2016-17,ISL-09,48.0,A+,
2015-1455,15,Quiz-1,09 - 09-A 2016-17,ISL-09,44.0,A,
2006-0175,05,Quiz-1,09 - 09-A 2016-17,ISL-09,25.0,C,
2014-1219,08,Quiz-1,09 - 09-A 2016-17,ISL-09,39.0,B+,
2013-1046,03,Quiz-1,09 - 09-A 2016-17,ISL-09,47.0,A+,
2007-0267,12,Quiz-1,09 - 09-A 2016-17,ISL-09,24.0,D,
2007-0537,20,Quiz-1,09 - 09-A 2016-17,ISL-09,36.0,B+,
2005-0159,02,Quiz-1,09 - 09-A 2016-17,ISL-09,35.0,B+,
2008-0343,09,Quiz-1,09 - 09-A 2016-17,ISL-09,38.0,B+,
2009-0520,19,Quiz-1,09 - 09-A 2016-17,ISL-09,29.0,C,
2014-1232,13,Quiz-1,09 - 09-A 2016-17,ISL-09,46.0,A+,
2014-1288,07,Quiz-1,09 - 09-A 2016-17,ISL-09,41.0,A,
2015-1309,11,Quiz-1,05 - 05-G 2016-17,SS-05,10.0,B,
2011-0751,02,Quiz-1,05 - 05-G 2016-17,SS-05,12.0,A,
2012-0879,21,Quiz-1,05 - 05-G 2016-17,SS-05,14.0,A+,
2014-1185,09,Quiz-1,05 - 05-G 2016-17,SS-05,7.0,D,
2010-0657,10,Quiz-1,05 - 05-G 2016-17,SS-05,13.0,A,
2009-0466,01,Quiz-1,05 - 05-G 2016-17,SS-05,13.0,A,
2009-0532,07,Quiz-1,05 - 05-G 2016-17,SS-05,9.0,B,
2010-0608,03,Quiz-1,05 - 05-G 2016-17,SS-05,14.0,A+,
2009-0559,14,Quiz-1,05 - 05-G 2016-17,SS-05,8.0,C,
2009-0500,05,Quiz-1,05 - 05-G 2016-17,SS-05,10.0,B,
2015-1432,12,Quiz-1,05 - 05-G 2016-17,SS-05,6.0,D,
2015-1441,13,Quiz-1,05 - 05-G 2016-17,SS-05,11.0,B+,
