Student,Roll number,Exam group,Batch,Subject,Marks,Grading level,Remarks
2013-1042,61,QUIZ-I,01 - 01-R 2016-17,URD-01,16.5,A,
2013-1134,13,QUIZ-I,01 - 01-R 2016-17,URD-01,19.0,A+,
2015-1351,12,QUIZ-I,01 - 01-R 2016-17,URD-01,19.5,A+,
2014-1239,84,QUIZ-I,01 - 01-R 2016-17,URD-01,19.5,A+,
2012-0989,21,QUIZ-I,01 - 01-B 2016-17,URD-01,18.0,A+,
2016-1501,91,QUIZ-I,01 - 01-B 2016-17,URD-01,14.0,B+,
2015-1320,20,QUIZ-I,01 - 01-B 2016-17,URD-01,19.5,A+,
2013-1029,59,QUIZ-I,01 - 01-B 2016-17,URD-01,19.0,A+,
2013-1126,70,QUIZ-I,01 - 01-B 2016-17,URD-01,18.0,A+,
2013-1078,67,QUIZ-I,01 - 01-B 2016-17,URD-01,19.5,A+,
2013-1142,74,QUIZ-I,01 - 01-B 2016-17,URD-01,15.0,B+,
2013-1058,64,QUIZ-I,01 - 01-B 2016-17,URD-01,18.5,A+,
2015-1436,51,QUIZ-I,01 - 01-B 2016-17,URD-01,15.5,B+,
2012-0996,88,QUIZ-I,01 - 01-B 2016-17,URD-01,12.0,B,
2013-1130,11,QUIZ-I,01 - 01-B 2016-17,URD-01,19.0,A+,
2013-1106,06,QUIZ-I,01 - 01-B 2016-17,URD-01,17.0,A,
2014-1274,54,QUIZ-I,01 - 01-B 2016-17,URD-01,19.0,A+,
2014-1285,05,QUIZ-I,01 - 01-B 2016-17,URD-01,19.0,A+,
2015-1312,81,QUIZ-I,01 - 01-B 2016-17,URD-01,19.0,A+,
2013-1023,57,QUIZ-I,01 - 01-B 2016-17,URD-01,18.0,A+,
2014-1300,18,QUIZ-I,01 - 01-B 2016-17,URD-01,19.0,A+,
2016-1477,69,QUIZ-I,01 - 01-B 2016-17,URD-01,17.5,A,
2013-1053,63,QUIZ-I,01 - 01-B 2016-17,URD-01,19.5,A+,
2015-1348,89,QUIZ-I,01 - 01-B 2016-17,URD-01,17.0,A,
2016-1533,09,QUIZ-I,01 - 01-B 2016-17,URD-01,15.5,B+,
2013-1059,65,QUIZ-I,01 - 01-B 2016-17,URD-01,18.5,A+,
2013-1011,02,QUIZ-I,01 - 01-B 2016-17,URD-01,19.0,A+,
2013-1178,71,QUIZ-I,01 - 01-B 2016-17,URD-01,17.0,A,
2014-1169,82,QUIZ-I,01 - 01-B 2016-17,URD-01,19.0,A+,
2014-1149,79,QUIZ-I,01 - 01-B 2016-17,URD-01,17.0,A,
2013-1048,62,QUIZ-I,01 - 01-B 2016-17,URD-01,20.0,A+,
2014-1220,16,QUIZ-I,01 - 01-B 2016-17,URD-01,18.0,A+,
2015-1319,86,QUIZ-I,01 - 01-R 2016-17,SS-01,14.0,A+,
2015-1331,87,QUIZ-I,01 - 01-R 2016-17,SS-01,13.0,A,
2013-1019,56,QUIZ-I,01 - 01-R 2016-17,SS-01,14.5,A+,
2015-1353,72,QUIZ-I,01 - 01-R 2016-17,SS-01,13.0,A,
2013-1148,78,QUIZ-I,01 - 01-R 2016-17,SS-01,14.5,A+,
2013-1001,52,QUIZ-I,01 - 01-R 2016-17,SS-01,11.5,B+,
2014-1236,83,QUIZ-I,01 - 01-R 2016-17,SS-01,15.0,A+,
2014-1284,85,QUIZ-I,01 - 01-R 2016-17,SS-01,14.0,A+,
2013-1147,14,QUIZ-I,01 - 01-R 2016-17,SS-01,14.0,A+,
2013-1140,73,QUIZ-I,01 - 01-R 2016-17,SS-01,15.0,A+,
2015-1374,77,QUIZ-I,01 - 01-R 2016-17,SS-01,11.0,B+,
2013-1060,03,QUIZ-I,01 - 01-R 2016-17,SS-01,14.0,A+,
2013-1143,75,QUIZ-I,01 - 01-R 2016-17,SS-01,11.0,B+,
2014-1262,17,QUIZ-I,01 - 01-R 2016-17,SS-01,15.0,A+,
2013-1003,53,QUIZ-I,01 - 01-R 2016-17,SS-01,14.5,A+,
2013-1000,01,QUIZ-I,01 - 01-R 2016-17,SS-01,15.0,A+,
2015-1425,08,QUIZ-I,01 - 01-R 2016-17,SS-01,15.0,A+,
2015-1389,19,QUIZ-I,01 - 01-R 2016-17,SS-01,11.0,B+,
2013-1075,66,QUIZ-I,01 - 01-R 2016-17,SS-01,10.0,B,
2013-1042,61,QUIZ-I,01 - 01-R 2016-17,SS-01,14.0,A+,
2013-1134,13,QUIZ-I,01 - 01-R 2016-17,SS-01,13.0,A,
2015-1351,12,QUIZ-I,01 - 01-R 2016-17,SS-01,15.0,A+,
2014-1196,15,QUIZ-I,01 - 01-R 2016-17,SS-01,11.0,B+,
2014-1239,84,QUIZ-I,01 - 01-R 2016-17,SS-01,13.0,A,
2015-1319,86,QUIZ-I,01 - 01-R 2016-17,CS-01,9.5,A+,
2015-1331,87,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2013-1019,56,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2015-1353,72,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2013-1148,78,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2013-1001,52,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2014-1236,83,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2014-1284,85,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2013-1147,14,QUIZ-I,01 - 01-R 2016-17,CS-01,7.0,B+,
2013-1140,73,QUIZ-I,01 - 01-R 2016-17,CS-01,10.0,A+,
2015-1374,77,QUIZ-I,01 - 01-R 2016-17,CS-01,9.0,A+,
